cohort,cohort_years,afqtgrp,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A1,29870,24830,14890,32940,16730,9178,22910,30160,34170,33600,43390,48700,48250,60900,68870,1,1,1,1,1,1,1,1,1
0,16,A2,176000,145600,86640,193000,96270,49420,22790,30090,34890,33350,43580,50170,48050,61750,71270,1,1,1,1,1,1,1,1,1
0,16,A3,106500,92530,53490,117000,55820,25540,24550,33360,40310,37490,49250,58580,57150,71520,84080,1,1,1,1,1,1,1,1,1
2000,2,A0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,A0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,A0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,A0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,A0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
